ID,派發機關數量,派發機關
46509,1,行政院環境保護署
46508,9,嘉義市政府,基隆市政府,臺北市政府,臺東縣政府,花蓮縣政府,苗栗縣政府,雲林縣政府,交通部,臺南市政府
46507,1,行政院環境保護署
46506,1,行政院環境保護署
46505,1,行政院環境保護署
46504,1,行政院環境保護署
46503,1,行政院環境保護署
46502,1,行政院環境保護署
46501,1,行政院環境保護署
46500,1,行政院農業委員會
46499,1,經濟部
46498,1,台灣電力股份有限公司
46497,9,嘉義市政府,基隆市政府,宜蘭縣政府,屏東縣政府,臺北市政府,花蓮縣政府,苗栗縣政府,雲林縣政府,臺南市政府
46496,1,行政院原子能委員會
46495,1,行政院農業委員會
46494,9,嘉義市政府,基隆市政府,屏東縣政府,臺北市政府,臺東縣政府,花蓮縣政府,苗栗縣政府,雲林縣政府,臺南市政府
46493,1,行政院農業委員會
46492,1,經濟部
46491,1,行政院環境保護署
46489,1,行政院環境保護署
46488,1,行政院環境保護署
46487,1,行政院環境保護署
46486,1,行政院農業委員會
46485,1,行政院農業委員會
46484,1,行政院農業委員會
46483,1,經濟部
46482,1,經濟部
46478,1,行政院環境保護署
46477,2,經濟部,行政院農業委員會
46476,1,經濟部
46451,1,財政部
46229,1,交通部
46223,1,衛生福利部
46222,1,經濟部
46221,1,教育部
46220,1,教育部
46219,9,嘉義市政府,基隆市政府,屏東縣政府,臺北市政府,臺東縣政府,花蓮縣政府,苗栗縣政府,雲林縣政府,臺南市政府
46218,9,嘉義市政府,基隆市政府,屏東縣政府,臺北市政府,臺東縣政府,花蓮縣政府,苗栗縣政府,雲林縣政府,臺南市政府
46217,1,教育部
46216,1,教育部
46215,1,教育部
46213,1,教育部
46212,1,教育部
46211,1,教育部
46210,1,教育部
46209,1,教育部
46208,1,教育部
46203,1,衛生福利部
46202,1,經濟部
46200,1,行政院主計總處
46199,2,經濟部,衛生福利部
46198,1,衛生福利部
46197,1,教育部
46196,1,行政院主計總處
46195,7,嘉義市政府,基隆市政府,宜蘭縣政府,花蓮縣政府,苗栗縣政府,雲林縣政府,臺南市政府
46194,9,嘉義市政府,基隆市政府,屏東縣政府,臺北市政府,臺東縣政府,花蓮縣政府,苗栗縣政府,雲林縣政府,臺南市政府
46193,1,財政部
46192,1,本平臺營運窗口
46191,1,交通部
46190,1,財政部
46157,1,本平臺營運窗口
46154,1,行政院環境保護署
46113,1,經濟部
46081,1,行政院農業委員會
46048,6,嘉義市政府,屏東縣政府,臺中市政府,臺北市政府,花蓮縣政府,苗栗縣政府
46046,1,經濟部
46031,1,本平臺營運窗口
45964,1,行政院環境保護署
45945,1,衛生福利部
45939,1,衛生福利部
45924,1,交通部
45922,1,臺北市政府
45878,1,交通部
45877,1,交通部
45876,1,內政部
45796,1,銓敘部
45712,1,勞動部
45692,1,立法院
45691,1,行政院環境保護署
45684,1,內政部
45673,1,司法院
45671,1,行政院農業委員會
45637,1,司法院
45604,1,臺南市政府
45543,1,法務部
45516,1,衛生福利部
45500,1,財政部
45492,1,司法院
45322,1,法務部
45255,1,財政部
45229,1,交通部
45228,1,臺北市政府
45201,1,金融監督管理委員會
45112,1,行政院農業委員會
45096,1,行政院農業委員會
45095,1,衛生福利部
45089,1,原住民族委員會
45024,1,台灣電力股份有限公司
44979,1,交通部
44978,1,內政部
44965,1,台灣電力股份有限公司
44959,1,財政部
44956,1,經濟部
44831,1,科技部
44804,1,交通部
44777,1,財政部
44772,1,國防部
44755,1,內政部
44747,1,本平臺營運窗口
44741,1,台灣電力股份有限公司
44740,1,內政部
44720,1,桃園市政府
44650,1,衛生福利部
44648,1,交通部
44633,1,衛生福利部
44626,1,經濟部
44238,1,金融監督管理委員會
44205,1,經濟部
